trade_id,quantity,underlying,expiry,payment_time,strike,call_put,type,payment_currency
1,10,ASBB,3.00104,3.00651,40,CALL,REGULAR,USD
2,10,ARRS,0.00198,0.00745,53,PUT,REGULAR,USD
3,-10,ANIP,0.04085,0.04632,48,CALL,REGULAR,USD
4,10,AEY,4.62112,4.62659,102,PUT,REGULAR,USD
5,10,CAFD,2.38194,2.38741,144,CALL,REGULAR,USD
6,-10,ADMA,4.12781,4.13328,102,PUT,REGULAR,USD
7,10,ADTN,1.43993,1.4454,144,CALL,REGULAR,USD
8,10,SHLM,2.80181,2.80728,20,PUT,ODD,EUR
9,-10,SRCE,1.57883,1.5843,22,CALL,REGULAR,USD
10,10,ARCW,1.30618,1.31165,64,PUT,REGULAR,USD
11,10,ALJJ,3.2893,3.29477,32,CALL,REGULAR,USD
12,-10,SRCE,4.91307,4.91854,106,PUT,REGULAR,USD
13,10,JOBS,0.03799,0.04346,48,CALL,REGULAR,USD
14,10,TWOU,0.56715,0.57262,40,PUT,REGULAR,USD
15,-10,ASBB,1.73037,1.73584,30,CALL,REGULAR,USD
16,10,SWIN,2.39013,2.3956,115,PUT,ODD,EUR
17,10,AGNC,4.30208,4.30755,125,CALL,REGULAR,USD
18,-10,SRCE,1.46913,1.4746,42,PUT,REGULAR,USD
19,10,SSRX,2.37645,2.38192,142,CALL,REGULAR,USD
20,10,SRCE,3.47886,3.48433,67,PUT,REGULAR,USD
21,-10,SHLM,0.26669,0.27216,61,CALL,REGULAR,USD
22,10,AGNCB,4.91637,4.92184,141,PUT,REGULAR,USD
23,10,SHLM,0.53722,0.54269,74,CALL,REGULAR,USD
24,-10,AAON,1.303,1.30847,107,PUT,ODD,EUR
25,10,FUBC,3.65414,3.65961,94,CALL,REGULAR,USD
26,10,UHAL,1.70386,1.70933,85,PUT,REGULAR,USD
27,-10,VNET,0.64412,0.64959,80,CALL,REGULAR,USD
28,10,UHAL,0.82417,0.82964,44,PUT,REGULAR,USD
29,10,ADTN,4.91794,4.92341,87,CALL,REGULAR,USD
30,-10,SWIN,1.84646,1.85193,62,PUT,REGULAR,USD
31,10,FCCY,3.96899,3.97446,70,CALL,REGULAR,USD
32,10,SSRX,3.43679,3.44226,28,PUT,ODD,EUR
33,-10,AGNC,4.23414,4.23961,27,CALL,REGULAR,USD
34,10,ANSS,1.11018,1.11565,125,PUT,REGULAR,USD
35,10,AGNCB,1.87214,1.87761,87,CALL,REGULAR,USD
36,-10,UHAL,1.00259,1.00806,128,PUT,REGULAR,USD
37,10,FUBC,4.35157,4.35704,130,CALL,REGULAR,USD
38,10,AMCX,2.59453,2.6,41,PUT,REGULAR,USD
39,-10,TWOU,4.72866,4.73413,47,CALL,REGULAR,USD
40,10,AMRK,4.06272,4.06819,87,PUT,ODD,EUR
41,10,AMRK,3.17149,3.17696,105,CALL,REGULAR,USD
42,-10,ABMD,2.58524,2.59071,119,PUT,REGULAR,USD
43,10,SWIN,1.87184,1.87731,81,CALL,REGULAR,USD
44,10,ASBB,4.83746,4.84293,77,PUT,REGULAR,USD
45,-10,AEZS,2.32637,2.33184,148,CALL,REGULAR,USD
46,10,ANSS,4.42939,4.43486,77,PUT,REGULAR,USD
47,10,SWIN,1.05091,1.05638,118,CALL,REGULAR,USD
48,-10,AEY,3.15814,3.16361,59,PUT,ODD,EUR
49,10,ANIP,4.43315,4.43862,38,CALL,REGULAR,USD
50,10,AGNC,0.13805,0.14352,120,PUT,REGULAR,USD
51,-10,FCTY,2.95433,2.9598,111,CALL,REGULAR,USD
52,10,FLWS,1.0847,1.09017,99,PUT,REGULAR,USD
53,10,AGNC,1.50386,1.50933,143,CALL,REGULAR,USD
54,-10,ARRS,3.67877,3.68424,134,PUT,REGULAR,USD
55,10,JOBS,4.53581,4.54128,65,CALL,REGULAR,USD
56,10,ARCW,2.68864,2.69411,53,PUT,ODD,EUR
57,-10,ANSS,1.97888,1.98435,43,CALL,REGULAR,USD
58,10,PIH,0.65579,0.66126,102,PUT,REGULAR,USD
59,10,AGNC,4.24491,4.25038,146,CALL,REGULAR,USD
60,-10,CAFD,0.64676,0.65223,103,PUT,REGULAR,USD
61,10,UHAL,0.35932,0.36479,59,CALL,REGULAR,USD
62,10,SHLM,1.00405,1.00952,104,PUT,REGULAR,USD
63,-10,EGHT,0.11022,0.11569,105,CALL,REGULAR,USD
64,10,AGNCB,0.16013,0.1656,98,PUT,ODD,EUR
65,10,JOBS,2.67695,2.68242,40,CALL,REGULAR,USD
66,-10,PIH,2.99892,3.00439,123,PUT,REGULAR,USD
67,10,EGHT,3.04421,3.04968,49,CALL,REGULAR,USD
68,10,ADTN,4.44371,4.44918,28,PUT,REGULAR,USD
69,-10,ADTN,3.04695,3.05242,115,CALL,REGULAR,USD
70,10,AGNCP,2.37034,2.37581,44,PUT,REGULAR,USD
71,10,AMRK,1.15937,1.16484,114,CALL,REGULAR,USD
72,-10,ALJJ,3.55613,3.5616,81,PUT,ODD,EUR
73,10,ADTN,4.84098,4.84645,83,CALL,REGULAR,USD
74,10,SHLM,0.32703,0.3325,42,PUT,REGULAR,USD
75,-10,ACAD,3.27056,3.27603,63,CALL,REGULAR,USD
76,10,ANIP,0.43891,0.44438,104,PUT,REGULAR,USD
77,10,UHAL,0.39719,0.40266,78,CALL,REGULAR,USD
78,-10,AEZS,1.89339,1.89886,106,PUT,REGULAR,USD
79,10,ASML,1.63527,1.64074,105,CALL,REGULAR,USD
80,10,SSRX,3.52622,3.53169,98,PUT,ODD,EUR
81,-10,SSRX,3.5434,3.54887,126,CALL,REGULAR,USD
82,10,PIH,3.54223,3.5477,26,PUT,REGULAR,USD
83,10,JOBS,0.6352,0.64067,72,CALL,REGULAR,USD
84,-10,AMCX,3.99445,3.99992,79,PUT,REGULAR,USD
85,10,ACAD,0.70689,0.71236,111,CALL,REGULAR,USD
86,10,ANIP,1.04895,1.05442,25,PUT,REGULAR,USD
87,-10,ARMH,3.15189,3.15736,38,CALL,REGULAR,USD
88,10,ARMH,2.49753,2.503,110,PUT,ODD,EUR
89,10,SWIN,4.43486,4.44033,127,CALL,REGULAR,USD
90,-10,ADMA,4.91051,4.91598,46,PUT,REGULAR,USD
91,10,ALJJ,4.93078,4.93625,67,CALL,REGULAR,USD
92,10,ACNB,0.26185,0.26732,106,PUT,REGULAR,USD
93,-10,ARCW,2.64006,2.64553,78,CALL,REGULAR,USD
94,10,ASDR,4.6314,4.63687,109,PUT,REGULAR,USD
95,10,UHAL,3.76831,3.77378,103,CALL,REGULAR,USD
96,-10,TURN,1.42018,1.42565,60,PUT,ODD,EUR
97,10,AAON,0.38317,0.38864,119,CALL,REGULAR,USD
98,10,ASBB,1.59634,1.60181,70,PUT,REGULAR,USD
99,-10,ADTN,4.46247,4.46794,41,CALL,REGULAR,USD
100,10,AMRK,0.96566,0.97113,149,PUT,REGULAR,USD
101,10,ADTN,4.32474,4.33021,92,CALL,REGULAR,USD
102,-10,EMDR,4.65643,4.6619,91,PUT,REGULAR,USD
103,10,ASML,1.43807,1.44354,126,CALL,REGULAR,USD
104,10,ANSS,0.83171,0.83718,37,PUT,ODD,EUR
105,-10,ACMR,3.15639,3.16186,122,CALL,REGULAR,USD
106,10,ASML,3.71127,3.71674,103,PUT,REGULAR,USD
107,10,ASDR,0.30172,0.30719,72,CALL,REGULAR,USD
108,-10,FCCY,4.11979,4.12526,146,PUT,REGULAR,USD
109,10,AEPI,0.22012,0.22559,46,CALL,REGULAR,USD
110,10,FCTY,1.23438,1.23985,42,PUT,REGULAR,USD
111,-10,ACIU,1.93687,1.94234,32,CALL,REGULAR,USD
112,10,ACIW,2.53081,2.53628,104,PUT,ODD,EUR
113,10,SSRX,1.55073,1.5562,33,CALL,REGULAR,USD
114,-10,ACAD,1.62407,1.62954,93,PUT,REGULAR,USD
115,10,FUBC,0.43101,0.43648,140,CALL,REGULAR,USD
116,10,AMAG,4.98271,4.98818,148,PUT,REGULAR,USD
117,-10,ARIS,4.8817,4.88717,39,CALL,REGULAR,USD
118,10,ARRS,1.49821,1.50368,55,PUT,REGULAR,USD
119,10,TURN,4.81565,4.82112,79,CALL,REGULAR,USD
120,-10,VNET,4.25599,4.26146,111,PUT,ODD,EUR
121,10,ARIS,3.05012,3.05559,30,CALL,REGULAR,USD
122,10,ACAD,0.97156,0.97703,84,PUT,REGULAR,USD
123,-10,ARIS,4.24314,4.24861,103,CALL,REGULAR,USD
124,10,TURN,2.84129,2.84676,83,PUT,REGULAR,USD
125,10,AMRK,4.1202,4.12567,54,CALL,REGULAR,USD
126,-10,ANSS,3.38296,3.38843,88,PUT,REGULAR,USD
127,10,FLWS,2.12325,2.12872,74,CALL,REGULAR,USD
128,10,FCCY,3.71237,3.71784,43,PUT,ODD,EUR
129,-10,ANIP,3.8037,3.80917,32,CALL,REGULAR,USD
130,10,AAON,3.04781,3.05328,75,PUT,REGULAR,USD
131,10,SHLM,2.99602,3.00149,50,CALL,REGULAR,USD
132,-10,VNET,4.83845,4.84392,55,PUT,REGULAR,USD
133,10,ACAD,1.34655,1.35202,38,CALL,REGULAR,USD
134,10,SSRX,4.22214,4.22761,124,PUT,REGULAR,USD
135,-10,ADMA,2.36377,2.36924,29,CALL,REGULAR,USD
136,10,ARCW,0.94468,0.95015,82,PUT,ODD,EUR
137,10,ARMH,2.35254,2.35801,119,CALL,REGULAR,USD
138,-10,AAON,0.42166,0.42713,98,PUT,REGULAR,USD
139,10,ACIU,1.38667,1.39214,142,CALL,REGULAR,USD
140,10,ARCW,2.89029,2.89576,123,PUT,REGULAR,USD
141,-10,ADMA,1.83089,1.83636,44,CALL,REGULAR,USD
142,10,AAON,0.00988,0.01535,125,PUT,REGULAR,USD
143,10,ARRS,3.92218,3.92765,22,CALL,REGULAR,USD
144,-10,ABMD,2.89815,2.90362,92,PUT,ODD,EUR
145,10,FCCY,2.14411,2.14958,141,CALL,REGULAR,USD
146,10,TWOU,1.78751,1.79298,65,PUT,REGULAR,USD
147,-10,ANIP,0.26703,0.2725,77,CALL,REGULAR,USD
148,10,SSRX,3.85266,3.85813,79,PUT,REGULAR,USD
149,10,ADMA,4.12871,4.13418,104,CALL,REGULAR,USD
150,-10,ALJJ,3.88641,3.89188,108,PUT,REGULAR,USD
151,10,SHLM,1.38112,1.38659,89,CALL,REGULAR,USD
152,10,ASBB,3.83539,3.84086,104,PUT,ODD,EUR
153,-10,EMDR,4.25953,4.265,121,CALL,REGULAR,USD
154,10,VNET,1.58765,1.59312,142,PUT,REGULAR,USD
155,10,AAON,2.21758,2.22305,70,CALL,REGULAR,USD
156,-10,ASDR,4.50031,4.50578,44,PUT,REGULAR,USD
157,10,ASV,2.50607,2.51154,20,CALL,REGULAR,USD
158,10,ARCW,3.52518,3.53065,98,PUT,REGULAR,USD
159,-10,ARIS,3.66763,3.6731,72,CALL,REGULAR,USD
160,10,UHAL,1.07735,1.08282,41,PUT,ODD,EUR
161,10,SHLM,3.89231,3.89778,118,CALL,REGULAR,USD
162,-10,ASDR,4.38656,4.39203,132,PUT,REGULAR,USD
163,10,ADTN,0.87258,0.87805,149,CALL,REGULAR,USD
164,10,SRCE,0.21167,0.21714,97,PUT,REGULAR,USD
165,-10,ADTN,2.24704,2.25251,62,CALL,REGULAR,USD
166,10,ARRS,4.73079,4.73626,112,PUT,REGULAR,USD
167,10,RUDR,2.84168,2.84715,111,CALL,REGULAR,USD
168,-10,ACNB,0.6964,0.70187,74,PUT,ODD,EUR
169,10,VNET,0.27727,0.28274,52,CALL,REGULAR,USD
170,10,AMAG,0.86636,0.87183,94,PUT,REGULAR,USD
171,-10,FCCY,1.37001,1.37548,103,CALL,REGULAR,USD
172,10,AGNCB,3.58241,3.58788,98,PUT,REGULAR,USD
173,10,ATNY,3.22647,3.23194,65,CALL,REGULAR,USD
174,-10,ARCW,1.81571,1.82118,52,PUT,REGULAR,USD
175,10,ARIS,2.16323,2.1687,46,CALL,REGULAR,USD
176,10,ABMD,2.31985,2.32532,23,PUT,ODD,EUR
177,-10,SHLM,0.97381,0.97928,112,CALL,REGULAR,USD
178,10,ABMD,3.97995,3.98542,30,PUT,REGULAR,USD
179,10,ACAD,3.97511,3.98058,58,CALL,REGULAR,USD
180,-10,SRCE,0.81458,0.82005,110,PUT,REGULAR,USD
181,10,ACIW,0.04396,0.04943,88,CALL,REGULAR,USD
182,10,ACMR,4.4131,4.41857,59,PUT,REGULAR,USD
183,-10,SRCE,1.15838,1.16385,134,CALL,REGULAR,USD
184,10,ADMA,0.9925,0.99797,87,PUT,ODD,EUR
185,10,TURN,2.88333,2.8888,128,CALL,REGULAR,USD
186,-10,ANAD,3.37964,3.38511,74,PUT,REGULAR,USD
187,10,ADMA,4.92196,4.92743,138,CALL,REGULAR,USD
188,10,AEY,0.37569,0.38116,53,PUT,REGULAR,USD
189,-10,PIH,4.9288,4.93427,150,CALL,REGULAR,USD
190,10,SHLM,1.57382,1.57929,123,PUT,REGULAR,USD
191,10,EGHT,1.5141,1.51957,131,CALL,REGULAR,USD
192,-10,ASML,0.97146,0.97693,106,PUT,ODD,EUR
193,10,FLWS,2.27499,2.28046,146,CALL,REGULAR,USD
194,10,ACMR,4.1294,4.13487,136,PUT,REGULAR,USD
195,-10,CAFD,2.00273,2.0082,27,CALL,REGULAR,USD
196,10,ACMR,0.12105,0.12652,93,PUT,REGULAR,USD
197,10,SWIN,3.01225,3.01772,110,CALL,REGULAR,USD
198,-10,FUBC,4.24453,4.25,130,PUT,REGULAR,USD
199,10,AAON,4.76245,4.76792,87,CALL,REGULAR,USD
200,10,TURN,3.47122,3.47669,139,PUT,ODD,EUR
201,-10,ACNB,3.00079,3.00626,26,CALL,REGULAR,USD
202,10,SWIN,2.36154,2.36701,146,PUT,REGULAR,USD
203,10,EMDR,4.56571,4.57118,20,CALL,REGULAR,USD
204,-10,PIH,4.29483,4.3003,31,PUT,REGULAR,USD
205,10,ARMH,1.38557,1.39104,104,CALL,REGULAR,USD
206,10,ACAD,4.90513,4.9106,88,PUT,REGULAR,USD
207,-10,ACMR,3.96082,3.96629,24,CALL,REGULAR,USD
208,10,AMCX,0.11741,0.12288,80,PUT,ODD,EUR
209,10,TURN,2.20904,2.21451,120,CALL,REGULAR,USD
210,-10,UHAL,4.35982,4.36529,125,PUT,REGULAR,USD
211,10,ARCW,2.08686,2.09233,28,CALL,REGULAR,USD
212,10,ASDR,1.9624,1.96787,25,PUT,REGULAR,USD
213,-10,ASDR,1.19642,1.20189,59,CALL,REGULAR,USD
214,10,ADMA,4.96352,4.96899,116,PUT,REGULAR,USD
215,10,ACAD,2.11431,2.11978,26,CALL,REGULAR,USD
216,-10,ARMH,2.89125,2.89672,32,PUT,ODD,EUR
217,10,ATNY,2.83327,2.83874,83,CALL,REGULAR,USD
218,10,ATNY,0.12938,0.13485,76,PUT,REGULAR,USD
219,-10,AAON,3.4036,3.40907,78,CALL,REGULAR,USD
220,10,TWOU,0.72729,0.73276,45,PUT,REGULAR,USD
221,10,ASV,0.45698,0.46245,100,CALL,REGULAR,USD
222,-10,ANAD,2.91512,2.92059,104,PUT,REGULAR,USD
223,10,VNET,1.16786,1.17333,58,CALL,REGULAR,USD
224,10,FUBC,0.4947,0.50017,38,PUT,ODD,EUR
225,-10,JOBS,1.20503,1.2105,23,CALL,REGULAR,USD
226,10,EGHT,1.68698,1.69245,142,PUT,REGULAR,USD
227,10,ASML,1.87643,1.8819,126,CALL,REGULAR,USD
228,-10,ASML,3.45032,3.45579,97,PUT,REGULAR,USD
229,10,TWOU,1.04108,1.04655,99,CALL,REGULAR,USD
230,10,ADTN,1.08167,1.08714,116,PUT,REGULAR,USD
231,-10,FLWS,4.36793,4.3734,49,CALL,REGULAR,USD
232,10,JOBS,1.2135,1.21897,48,PUT,ODD,EUR
233,10,ABMD,2.69867,2.70414,59,CALL,REGULAR,USD
234,-10,AGNCB,3.77555,3.78102,144,PUT,REGULAR,USD
235,10,AGNCB,4.80575,4.81122,73,CALL,REGULAR,USD
236,10,TURN,2.15836,2.16383,31,PUT,REGULAR,USD
237,-10,SRCE,1.4194,1.42487,51,CALL,REGULAR,USD
238,10,AMAG,0.34088,0.34635,70,PUT,REGULAR,USD
239,10,ATNY,2.09849,2.10396,149,CALL,REGULAR,USD
240,-10,ASDR,3.66951,3.67498,45,PUT,ODD,EUR
241,10,ALJJ,4.33078,4.33625,62,CALL,REGULAR,USD
242,10,AMRK,1.29616,1.30163,43,PUT,REGULAR,USD
243,-10,ALJJ,3.49062,3.49609,133,CALL,REGULAR,USD
244,10,ACNB,1.58252,1.58799,21,PUT,REGULAR,USD
245,10,AMCX,0.71022,0.71569,107,CALL,REGULAR,USD
246,-10,AEY,1.33652,1.34199,126,PUT,REGULAR,USD
247,10,AMRK,0.8033,0.80877,68,CALL,REGULAR,USD
248,10,UHAL,1.89673,1.9022,55,PUT,ODD,EUR
249,-10,ANSS,0.5705,0.57597,47,CALL,REGULAR,USD
250,10,AGNCP,4.86832,4.87379,113,PUT,REGULAR,USD
251,10,AEZS,0.67655,0.68202,66,CALL,REGULAR,USD
252,-10,AGNCP,0.00129,0.00676,84,PUT,REGULAR,USD
253,10,FCTY,2.29388,2.29935,21,CALL,REGULAR,USD
254,10,AEPI,1.19813,1.2036,129,PUT,REGULAR,USD
255,-10,ANAD,1.63055,1.63602,30,CALL,REGULAR,USD
256,10,TWOU,2.9304,2.93587,142,PUT,ODD,EUR
257,10,EMDR,0.16307,0.16854,92,CALL,REGULAR,USD
